time,mode_evt,set_evt,state,year,month,date,hour,minute
0,0,0,0,0,0,2019,12,1
1,0,0,0,0,1,2019,12,1
2,0,0,0,0,1,2019,12,1
3,0,0,0,0,1,2019,12,1
4,0,0,0,0,1,2019,12,1
5,0,0,0,0,1,2019,12,1
